
"QS103EW - Age by single year"
"ONS Crown Copyright Reserved [from Nomis on 28 January 2020]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","All categories: Age","Age under 1","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23","Age 24","Age 25","Age 26","Age 27","Age 28","Age 29","Age 30","Age 31","Age 32","Age 33","Age 34","Age 35","Age 36","Age 37","Age 38","Age 39","Age 40","Age 41","Age 42","Age 43","Age 44","Age 45","Age 46","Age 47","Age 48","Age 49","Age 50","Age 51","Age 52","Age 53","Age 54","Age 55","Age 56","Age 57","Age 58","Age 59","Age 60","Age 61","Age 62","Age 63","Age 64","Age 65","Age 66","Age 67","Age 68","Age 69","Age 70","Age 71","Age 72","Age 73","Age 74","Age 75","Age 76","Age 77","Age 78","Age 79","Age 80","Age 81","Age 82","Age 83","Age 84","Age 85","Age 86","Age 87","Age 88","Age 89","Age 90","Age 91","Age 92","Age 93","Age 94","Age 95","Age 96","Age 97","Age 98","Age 99","Age 100 and over"
"E00025617",484,6,9,10,7,16,9,10,12,7,7,8,3,8,2,6,3,0,7,7,4,20,22,19,11,12,18,10,17,10,6,11,16,9,4,8,7,9,9,8,4,5,8,6,4,1,4,4,6,7,5,0,6,1,6,3,8,3,1,2,2,1,3,4,0,2,0,2,0,2,0,2,1,0,1,2,2,1,2,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00025618",334,3,10,9,7,7,8,7,3,4,5,4,7,6,6,0,5,1,7,4,5,3,7,5,3,0,8,5,9,7,3,5,3,9,3,6,6,6,5,9,3,3,2,5,10,7,6,4,0,2,5,8,9,4,0,2,0,1,1,1,2,1,4,2,4,2,2,2,1,2,3,2,2,1,3,3,1,2,1,1,1,2,1,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"E00025619",300,8,7,8,5,6,9,2,8,3,5,3,5,7,5,3,5,2,1,3,2,4,2,4,4,3,3,4,6,8,8,8,3,5,5,1,4,8,0,6,3,11,3,3,5,5,2,8,2,3,4,3,4,5,0,3,4,0,2,6,1,3,1,2,0,2,2,2,2,2,0,2,2,2,2,2,3,3,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00025620",379,11,9,3,15,5,9,5,8,1,5,6,13,7,10,5,7,3,3,11,5,8,6,4,5,4,5,10,1,6,7,8,3,9,5,6,3,5,7,10,8,6,2,4,8,6,5,5,2,4,3,6,0,3,3,5,0,0,3,1,2,2,3,1,0,3,4,3,1,0,3,2,3,2,2,4,1,4,3,1,0,3,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"E00025621",319,5,8,4,7,4,4,14,1,5,4,10,5,4,1,9,5,7,1,4,2,4,6,2,8,7,4,11,6,4,5,0,7,5,9,4,7,3,8,3,6,2,2,2,1,3,3,3,6,6,1,4,6,1,5,2,2,4,2,0,2,1,1,2,1,2,1,3,4,3,3,3,3,3,4,0,0,3,2,0,1,0,1,3,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"E00025622",252,3,16,5,3,3,5,1,5,2,1,3,3,2,4,2,2,4,2,1,7,2,4,2,3,1,5,6,9,5,5,8,2,3,3,0,5,4,3,1,2,1,1,4,3,6,9,2,7,3,7,6,3,9,3,3,3,3,1,5,2,2,1,1,0,2,3,1,0,2,1,0,0,1,2,1,0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"E00025623",378,4,5,4,5,4,4,4,2,3,3,2,3,1,7,5,7,2,4,4,9,15,26,16,11,12,6,11,10,6,20,8,13,16,5,5,6,6,6,3,4,5,6,3,6,3,3,0,4,5,2,5,0,2,3,2,3,1,1,2,3,0,1,0,4,3,1,1,3,0,0,2,4,2,1,0,1,1,1,0,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00025624",335,3,6,4,5,5,5,2,4,5,0,6,7,4,6,8,9,5,4,4,6,2,4,3,2,4,4,2,3,4,4,3,7,3,3,2,3,6,3,2,2,5,9,3,3,4,2,4,5,6,3,8,9,6,8,3,2,3,1,3,4,2,1,8,4,8,2,6,3,3,3,8,4,6,1,2,3,2,1,2,1,1,0,1,2,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"E00025625",370,5,6,10,12,8,8,6,12,8,7,8,5,7,7,9,8,8,7,4,4,4,2,4,4,5,6,8,7,9,7,5,8,7,9,2,3,3,7,8,6,4,2,4,4,7,1,3,4,4,5,4,5,3,4,3,1,4,3,2,3,2,3,1,0,2,1,0,5,2,4,2,2,1,2,1,0,4,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00025626",272,3,0,3,4,1,6,5,5,3,5,6,4,5,3,2,4,6,5,3,2,2,4,6,4,2,5,4,1,3,7,5,3,8,7,4,3,3,6,0,1,5,4,8,6,2,4,6,1,4,3,8,6,3,1,2,1,4,1,4,2,3,2,2,1,5,1,1,4,2,1,4,3,1,0,4,1,0,1,1,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"E00025627",329,6,8,7,1,5,8,3,5,3,2,5,5,0,9,2,3,6,9,4,5,3,5,7,2,3,5,8,1,10,2,5,3,6,7,4,5,4,3,4,5,8,8,7,8,6,5,7,0,9,2,1,6,2,6,5,2,3,1,1,3,5,2,1,2,2,2,6,2,2,3,1,1,2,4,5,2,1,0,0,0,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"E00025628",316,2,3,5,8,3,5,6,6,5,1,5,2,4,2,5,3,0,1,3,7,5,3,9,6,3,7,9,5,10,8,11,6,3,10,4,4,5,5,9,6,8,4,6,6,4,2,4,6,7,1,2,2,2,1,3,4,1,3,2,1,2,3,1,4,1,2,3,0,1,2,1,1,1,1,2,1,6,0,2,3,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00025629",309,4,7,2,9,6,7,6,2,7,5,6,2,2,5,4,2,2,2,2,4,6,7,9,7,11,6,14,5,3,9,5,10,6,4,1,7,4,4,2,7,3,2,2,3,3,3,4,1,1,3,2,1,4,4,2,1,2,3,1,0,4,0,0,3,4,3,0,2,2,0,3,3,3,2,1,2,3,2,1,0,2,1,0,3,2,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"E00025630",402,2,7,9,9,7,7,10,5,2,8,4,9,2,10,5,8,6,6,7,13,15,21,17,12,9,13,5,6,4,7,7,4,7,6,3,9,3,5,8,5,1,6,6,5,7,2,5,3,3,3,3,4,3,1,5,3,1,0,0,0,3,1,0,1,3,1,2,0,3,0,1,2,0,0,2,1,2,6,1,2,1,2,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"E00025631",348,5,8,9,8,8,10,8,7,4,5,2,2,2,3,4,5,3,1,4,9,12,8,9,15,7,8,10,7,4,8,5,8,7,8,7,7,8,11,2,4,0,4,6,6,6,4,8,0,2,4,4,2,3,1,2,0,4,2,1,5,1,2,3,1,0,0,2,1,1,1,1,0,2,1,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00025632",213,3,4,8,4,7,9,2,1,4,1,3,5,1,3,4,5,5,0,5,1,9,10,5,3,7,6,3,3,2,3,1,2,5,2,5,3,2,2,5,3,3,2,3,1,3,6,5,2,1,0,1,1,1,2,3,1,0,2,1,0,2,1,1,0,0,1,2,2,0,1,0,2,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"E00025633",529,7,4,3,2,0,1,2,4,1,1,2,2,2,2,3,1,3,5,9,51,84,98,39,25,18,13,8,13,5,9,8,8,4,7,3,1,6,5,3,2,2,6,3,1,0,6,3,1,2,0,5,2,5,1,2,3,1,0,2,1,1,0,3,2,2,3,1,0,0,2,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00025634",293,5,3,5,2,9,3,5,6,2,5,5,3,6,6,6,5,2,5,7,2,5,2,5,2,3,4,3,6,4,5,5,6,5,4,1,1,3,6,6,4,3,3,5,3,1,2,3,3,3,10,4,3,3,2,5,3,1,0,3,1,2,3,2,4,4,1,5,6,4,2,1,5,3,1,1,3,1,0,2,1,1,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
